"Item ID","Item Name","Item Description","Item Usage","Item Icon"
"2001","基础作战记录","在恶劣环境下的每次行动都可能有人会丢掉性命。如果做好了充足的准备，或许也能多拯救一些生命。
存储了数场战斗的录像。","记录了作战录像的存储装置，可以些微增加干员的经验值。","sprite_exp_card_t1"
"2002","初级作战记录","在恶劣环境下的每次行动都可能有人会丢掉性命。如果做好了充足的准备，或许也能多拯救一些生命。
存储了多场战斗的录像与详细数据分析资料。附送了三小时的花絮与访谈。","记录了作战录像的存储装置，可以少许增加干员的经验值。","sprite_exp_card_t2"
"2003","中级作战记录","在恶劣环境下的每次行动都可能有人会丢掉性命。如果做好了充足的准备，或许也能多拯救一些生命。
存储了多个录像集锦，夹带了一张录像人的签名版。","记录了作战录像的存储装置，可以大幅增加干员的经验值。","sprite_exp_card_t3"
"2004","高级作战记录","在恶劣环境下的每次行动都可能有人会丢掉性命。如果做好了充足的准备，或许也能多拯救一些生命。
追加了总集篇。附带高清版、高清重制版、威力加强版、导演剪辑版、年度黄金版……","记录了作战录像的存储装置，可以极大增加干员的经验值。","sprite_exp_card_t4"
"3003","赤金","需要多少矿石才能提炼出如此贵重的金条呢——之类的想法已经不重要了。现在它正整整齐齐堆在你眼前，这才是关键啊。","提纯精炼后的金条，可以换取大量龙门币。","MTL_GOLD3"
"3105","龙骨","整个罗德岛得以构成的基础。不知道为何，罗德岛在一些特别的设施中会经常使用这种结构复杂且必须特别制作或购买的巨型原件。","精密的人造构件，是基础建设的核心材料。","MTL_BASE_ESS"
"3112","碳","可生产出种类繁多的聚合物，是工业制造不可缺少的原材料之一。","碳原料，用于开发罗德岛的基础设施。","MTL_BASE_SL1"
"3113","碳素","轻量，高纯度，具备优质的可加工性，我们如今的辉煌时代正是建立在它们的脊梁上。","碳素砖，用于开发罗德岛的基础设施。","MTL_BASE_SL2"
"3114","碳素组","大量的碳素资源。每一块砖都饱含着燃烧的工业之魂。","一组碳素砖，用于开发罗德岛的基础设施。","MTL_BASE_SL3"
"3131","基础加固建材","对房间进行改造时，如果不施加妥善的处理，施工将会对承重部位造成不可逆转的破坏。请在启动工程前使用加固建材保证房间完整性。","基本的建筑工程材料，用于罗德岛的基础设施。","MTL_BASE_SYNTH1"
"3132","进阶加固建材","如果打算对土木结构较为脆弱的区域内的房间进行改造，请在施工前使用此种建材进行维护。这样一来，建设初期的安全隐患将会迎刃而解。之后，请开始您的表演。","强化的建筑工程材料，用于罗德岛的基础设施。","MTL_BASE_SYNTH2"
"3133","高级加固建材","请勿对使用该标准建材维护过的房间进行无限制的稳定性测试！理论认为，目前已知的测试手段并不能破坏此房间的结构完整，但有可能导致实验者灰飞烟灭。","高等级的建筑工程材料，用于罗德岛的基础设施。","MTL_BASE_SYNTH3"
"3141","源石碎片","从遭受重度污染的地区回收的源石碎块，存在高感染威胁及一定突变概率，是哥伦比亚疾病防控中心毒性数据库重点提及的危险物质。","从污染区域中收集到的源石碎片，用以制作合成玉。","MTL_DIAMOND_SHD"
"3211","先锋芯片","通过努力特训得来的素材，似乎能对资历尚浅的先锋有特别的帮助。","通过记录特殊训练获得的存储芯片，有助于满足先锋干员在晋升时的强化需要。","MTL_ASC_PIO1"
"3212","先锋芯片组","通过努力特训得来的素材，似乎能对日渐成熟的先锋干员有特别的指导。","通过记录特殊训练获得的存储芯片组，有助于满足先锋干员在晋升时的强化需要。","MTL_ASC_PIO2"
"3213","先锋双芯片","通过努力特训得来的素材，似乎能对资历颇深的先锋干员有特别的提升。","通过记录特殊训练获得的成对存储芯片，有助于满足先锋干员在晋升时的强化需要。","MTL_ASC_PIO3"
"3221","近卫芯片","通过努力特训得来的素材，似乎能对资历尚浅的近卫干员有特别的帮助。","通过记录特殊训练获得的存储芯片，有助于满足近卫干员在晋升时的强化需要。","MTL_ASC_GRD1"
"3222","近卫芯片组","通过努力特训得来的素材，似乎能对日渐成熟的近卫干员有特别的指导。","通过记录特殊训练获得的存储芯片组，有助于满足近卫干员在晋升时的强化需要。","MTL_ASC_GRD2"
"3223","近卫双芯片","通过努力特训得来的素材，似乎能对资历颇深的近卫干员有特别的提升。","通过记录特殊训练获得的成对存储芯片，有助于满足近卫干员在晋升时的强化需要。","MTL_ASC_GRD3"
