"Item ID","Item Name","Item Description","Item Usage","Item Icon"
"furni_warehouse_storageshelf_01","大号货架","物流公司常用的大号货架，能摆放许多货物。","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_storageshelf_01"
"furni_warehouse_boxes_01","很多纸箱","数个大件货物的外包装。","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_boxes_01"
"furni_warehouse_boxes_02","一个纸箱","一个纸箱。也许能装些什么。","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_boxes_02"
"furni_warehouse_boxes_03","几个纸箱","几个叠在一起的纸箱。","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_boxes_03"
"furni_warehouse_chair_01","纸箱小凳","用纸箱改制的凳子，坐上去就会吱呀作响。","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_chair_01"
"furni_warehouse_bed_01","实用气垫","适合在疲劳时使用的气垫，对腰背有些许影响。","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_bed_01"
"furni_warehouse_laptop_01","便携™计算器","用以计算各类数据的计算器。","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_laptop_01"
"furni_warehouse_trolley_01","货运推车","用来推送货物的手推车。","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_trolley_01"
"furni_warehouse_cardboard_01","货物垫板","能够保持气垫的洁净。","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_cardboard_01"
"furni_warehouse_attendance_01","轮班考勤板","物流公司的考勤板。对于干员而言也是一样的用法。","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_attendance_01"
"furni_warehouse_note_01","快捷便利贴","许多便利贴纸，写满了备忘事项。","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_note_01"
"furni_warehouse_graffiti_01","街头涂鸦","因为尊重干员自主性而没被抹去的涂鸦。那么究竟是谁画的？","能够用来装扮宿舍，提高宿舍的氛围","furni_warehouse_graffiti_01"
"furni_s1_bed_01","瓷色大床","双人床，瓷色，简约。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_bed_01"
"furni_s1_nightstand_01","瓷色床头柜","床头柜，瓷色，几何。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_nightstand_01"
"furni_s1_comdesk_01","黑色简拼办公桌","办公桌，黑色，曲线。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_comdesk_01"
"furni_s1_comchair_01","黑色滚轮靠背椅","带有滚轮的黑色靠背椅，移动很方便。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_comchair_01"
"furni_s1_comcabinet_01","黑色简拼桌柜","桌柜，黑色，几何。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_comcabinet_01"
"furni_s1_bookcase_01","纯色棋盘式书柜","书柜，双色，几何。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_bookcase_01"
"furni_s1_tv_01","清晰™黑色电视","十分清晰的黑色电视。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_tv_01"
"furni_s1_sofa_01","纯色矮沙发","沙发，纯色，可拆卸。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_sofa_01"
"furni_s1_coffeetable_01","纯色直角茶几","茶几，纯色，一体式。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_coffeetable_01"
"furni_s1_floor_01","磨砂黑地砖","没有花纹的地板。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_floor_01"
"furni_s1_carpet_01","灰色纤维地毯","很难弄脏的灰色地毯。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_carpet_01"
"furni_s1_bulletinboard_01","小型公告板","偶尔也有些用处的公告板。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_bulletinboard_01"
"furni_s1_clock_01","黑色简约时钟","黑色的指针不断走动。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_clock_01"
"furni_s1_walllamp_01","瓷色壁灯","光芒让房间简约的设计变得柔和。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_walllamp_01"
"furni_s1_wallpaper_01","瓷色壁纸","充斥着设计师个人想法的壁纸。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_wallpaper_01"
"furni_s1_bed_02","橘色大床","无需装饰的橘色简约大床。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_bed_02"
"furni_s1_nightstand_02","橘色床头柜","方方正正的橘色床头柜。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_nightstand_02"
"furni_s1_comdesk_02","橘色简拼办公桌","橘色的无柜办公桌。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_comdesk_02"
"furni_s1_comchair_02","橘色滚轮靠背椅","带有滚轮的橘色靠背椅，椅背可以调整。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_comchair_02"
"furni_s1_comcabinet_02","橘色简拼桌柜","低矮的橘色柜子。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_comcabinet_02"
"furni_s1_bookcase_02","橘色棋盘式书柜","如同橘色棋盘一样的书柜。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_bookcase_02"
"furni_s1_tv_02","清晰™橘色电视","十分清晰的橘色电视。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_tv_02"
"furni_s1_sofa_02","橘色矮沙发","低矮的沙发，椅背与把手是一体的。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_sofa_02"
"furni_s1_coffeetable_02","橘色直角茶几","橘色的光滑茶几。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_coffeetable_02"
"furni_s1_floor_02","雅士白地砖","只将颜色作为装饰的地板。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_floor_02"
"furni_s1_carpet_02","白色纤维地毯","难以保持清洁的地毯。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_carpet_02"
"furni_s1_bulletinboard_02","小型贴示板","贴满了贴示的公告板。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_bulletinboard_02"
"furni_s1_clock_02","橘色简约时钟","橘色的指针不会停转。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_clock_02"
"furni_s1_walllamp_02","橘色壁灯","光芒让房间简约的设计变得柔软。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_walllamp_02"
"furni_s1_wallpaper_02","橘色壁纸","充满了设计师实验思维的壁纸。","能够用来装扮宿舍，提高宿舍的氛围","furni_s1_wallpaper_02"
"furni_specimen_wallpaper_01","金属墙纸","反射着金属光泽的壁纸。衬托其他事物是它唯一的使命。","能够用来装扮宿舍，提高宿舍的氛围","furni_specimen_wallpaper_01"
"furni_specimen_floor_01","铜色地板","微微反射着灯光的地板。很耐脏，清洁起来也很方便。","能够用来装扮宿舍，提高宿舍的氛围","furni_specimen_floor_01"
"furni_specimen_coffeetable_01","筐形矮茶几","如同倒扣箩筐般的茶几。翻转过来真的可以用来储物，就是有些重…...","能够用来装扮宿舍，提高宿舍的氛围","furni_specimen_coffeetable_01"
"furni_specimen_bed_01","金属大床","结构简单坚实的大床。能够躺在上面细细欣赏房中的一切。","能够用来装扮宿舍，提高宿舍的氛围","furni_specimen_bed_01"
"furni_specimen_nightstand_01","方形床头矮柜","黑白分明的床头柜。不要把黑色的东西放在柜上哦，会找不到的。","能够用来装扮宿舍，提高宿舍的氛围","furni_specimen_nightstand_01"
"furni_specimen_lazysofa_L_01","褐色懒人沙发（左）","造型奇特的人气沙发。上一个使用者已经消失了，只留下了一个大坑。","能够用来装扮宿舍，提高宿舍的氛围","furni_specimen_lazysofa_L_01"
"furni_specimen_lazysofa_R_01","褐色懒人沙发（右）","造型奇特的人气沙发。似乎没有被使用过，肯定是用完后花心思为它复原了。","能够用来装扮宿舍，提高宿舍的氛围","furni_specimen_lazysofa_R_01"
"furni_specimen_pottedplant_02","针叶盆栽","无法理解的植物盆栽。禁止触摸，手会被刺伤的！","能够用来装扮宿舍，提高宿舍的氛围","furni_specimen_pottedplant_02"
"furni_specimen_pottedplant_01","阔叶盆栽","无法理解的植物盆栽。自然脱落的叶片能够拿回家做书签。","能够用来装扮宿舍，提高宿舍的氛围","furni_specimen_pottedplant_01"
